GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC03_EST_VC12,HC03_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC03_EST_VC14,HC03_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC03_EST_VC16,HC03_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC03_EST_VC17,HC03_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC03_EST_VC22,HC03_MOE_VC22,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC03_EST_VC25,HC03_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC03_EST_VC26,HC03_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC03_EST_VC27,HC03_MOE_VC27
Id,Id2,Geography,Total; Estimate; Population 16 to 64 years,Total; Margin of Error; Population 16 to 64 years,Male; Estimate; Population 16 to 64 years,Male; Margin of Error; Population 16 to 64 years,Female; Estimate; Population 16 to 64 years,Female; Margin of Error; Population 16 to 64 years,Total; Estimate; WEEKS WORKED - Worked 50 to 52 weeks,Total; Margin of Error; WEEKS WORKED - Worked 50 to 52 weeks,Male; Estimate; WEEKS WORKED - Worked 50 to 52 weeks,Male; Margin of Error; WEEKS WORKED - Worked 50 to 52 weeks,Female; Estimate; WEEKS WORKED - Worked 50 to 52 weeks,Female; Margin of Error; WEEKS WORKED - Worked 50 to 52 weeks,Total; Estimate; WEEKS WORKED - Worked 40 to 49 weeks,Total; Margin of Error; WEEKS WORKED - Worked 40 to 49 weeks,Male; Estimate; WEEKS WORKED - Worked 40 to 49 weeks,Male; Margin of Error; WEEKS WORKED - Worked 40 to 49 weeks,Female; Estimate; WEEKS WORKED - Worked 40 to 49 weeks,Female; Margin of Error; WEEKS WORKED - Worked 40 to 49 weeks,Total; Estimate; WEEKS WORKED - Worked 27 to 39 weeks,Total; Margin of Error; WEEKS WORKED - Worked 27 to 39 weeks,Male; Estimate; WEEKS WORKED - Worked 27 to 39 weeks,Male; Margin of Error; WEEKS WORKED - Worked 27 to 39 weeks,Female; Estimate; WEEKS WORKED - Worked 27 to 39 weeks,Female; Margin of Error; WEEKS WORKED - Worked 27 to 39 weeks,Total; Estimate; WEEKS WORKED - Worked 14 to 26 weeks,Total; Margin of Error; WEEKS WORKED - Worked 14 to 26 weeks,Male; Estimate; WEEKS WORKED - Worked 14 to 26 weeks,Male; Margin of Error; WEEKS WORKED - Worked 14 to 26 weeks,Female; Estimate; WEEKS WORKED - Worked 14 to 26 weeks,Female; Margin of Error; WEEKS WORKED - Worked 14 to 26 weeks,Total; Estimate; WEEKS WORKED - Worked 1 to 13 weeks,Total; Margin of Error; WEEKS WORKED - Worked 1 to 13 weeks,Male; Estimate; WEEKS WORKED - Worked 1 to 13 weeks,Male; Margin of Error; WEEKS WORKED - Worked 1 to 13 weeks,Female; Estimate; WEEKS WORKED - Worked 1 to 13 weeks,Female; Margin of Error; WEEKS WORKED - Worked 1 to 13 weeks,Total; Estimate; WEEKS WORKED - Did not work,Total; Margin of Error; WEEKS WORKED - Did not work,Male; Estimate; WEEKS WORKED - Did not work,Male; Margin of Error; WEEKS WORKED - Did not work,Female; Estimate; WEEKS WORKED - Did not work,Female; Margin of Error; WEEKS WORKED - Did not work,Total; Estimate; USUAL HOURS WORKED - Usually worked 35 or more hours per week,Total; Margin of Error; USUAL HOURS WORKED - Usually worked 35 or more hours per week,Male; Estimate; USUAL HOURS WORKED - Usually worked 35 or more hours per week,Male; Margin of Error; USUAL HOURS WORKED - Usually worked 35 or more hours per week,Female; Estimate; USUAL HOURS WORKED - Usually worked 35 or more hours per week,Female; Margin of Error; USUAL HOURS WORKED - Usually worked 35 or more hours per week,Total; Estimate; USUAL HOURS WORKED - Usually worked 35 or more hours per week - 40 or more weeks,Total; Margin of Error; USUAL HOURS WORKED - Usually worked 35 or more hours per week - 40 or more weeks,Male; Estimate; USUAL HOURS WORKED - Usually worked 35 or more hours per week - 40 or more weeks,Male; Margin of Error; USUAL HOURS WORKED - Usually worked 35 or more hours per week - 40 or more weeks,Female; Estimate; USUAL HOURS WORKED - Usually worked 35 or more hours per week - 40 or more weeks,Female; Margin of Error; USUAL HOURS WORKED - Usually worked 35 or more hours per week - 40 or more weeks,Total; Estimate; USUAL HOURS WORKED - Usually worked 35 or more hours per week - 50 to 52 weeks,Total; Margin of Error; USUAL HOURS WORKED - Usually worked 35 or more hours per week - 50 to 52 weeks,Male; Estimate; USUAL HOURS WORKED - Usually worked 35 or more hours per week - 50 to 52 weeks,Male; Margin of Error; USUAL HOURS WORKED - Usually worked 35 or more hours per week - 50 to 52 weeks,Female; Estimate; USUAL HOURS WORKED - Usually worked 35 or more hours per week - 50 to 52 weeks,Female; Margin of Error; USUAL HOURS WORKED - Usually worked 35 or more hours per week - 50 to 52 weeks,Total; Estimate; USUAL HOURS WORKED - Usually worked 15 to 34 hours per week,Total; Margin of Error; USUAL HOURS WORKED - Usually worked 15 to 34 hours per week,Male; Estimate; USUAL HOURS WORKED - Usually worked 15 to 34 hours per week,Male; Margin of Error; USUAL HOURS WORKED - Usually worked 15 to 34 hours per week,Female; Estimate; USUAL HOURS WORKED - Usually worked 15 to 34 hours per week,Female; Margin of Error; USUAL HOURS WORKED - Usually worked 15 to 34 hours per week,Total; Estimate; USUAL HOURS WORKED - Usually worked 15 to 34 hours per week - 40 or more weeks,Total; Margin of Error; USUAL HOURS WORKED - Usually worked 15 to 34 hours per week - 40 or more weeks,Male; Estimate; USUAL HOURS WORKED - Usually worked 15 to 34 hours per week - 40 or more weeks,Male; Margin of Error; USUAL HOURS WORKED - Usually worked 15 to 34 hours per week - 40 or more weeks,Female; Estimate; USUAL HOURS WORKED - Usually worked 15 to 34 hours per week - 40 or more weeks,Female; Margin of Error; USUAL HOURS WORKED - Usually worked 15 to 34 hours per week - 40 or more weeks,Total; Estimate; USUAL HOURS WORKED - Usually worked 15 to 34 hours per week - 50 to 52 weeks,Total; Margin of Error; USUAL HOURS WORKED - Usually worked 15 to 34 hours per week - 50 to 52 weeks,Male; Estimate; USUAL HOURS WORKED - Usually worked 15 to 34 hours per week - 50 to 52 weeks,Male; Margin of Error; USUAL HOURS WORKED - Usually worked 15 to 34 hours per week - 50 to 52 weeks,Female; Estimate; USUAL HOURS WORKED - Usually worked 15 to 34 hours per week - 50 to 52 weeks,Female; Margin of Error; USUAL HOURS WORKED - Usually worked 15 to 34 hours per week - 50 to 52 weeks,Total; Estimate; USUAL HOURS WORKED - Usually worked 1 to 14 hours per week,Total; Margin of Error; USUAL HOURS WORKED - Usually worked 1 to 14 hours per week,Male; Estimate; USUAL HOURS WORKED - Usually worked 1 to 14 hours per week,Male; Margin of Error; USUAL HOURS WORKED - Usually worked 1 to 14 hours per week,Female; Estimate; USUAL HOURS WORKED - Usually worked 1 to 14 hours per week,Female; Margin of Error; USUAL HOURS WORKED - Usually worked 1 to 14 hours per week,Total; Estimate; USUAL HOURS WORKED - Usually worked 1 to 14 hours per week - 40 or more weeks,Total; Margin of Error; USUAL HOURS WORKED - Usually worked 1 to 14 hours per week - 40 or more weeks,Male; Estimate; USUAL HOURS WORKED - Usually worked 1 to 14 hours per week - 40 or more weeks,Male; Margin of Error; USUAL HOURS WORKED - Usually worked 1 to 14 hours per week - 40 or more weeks,Female; Estimate; USUAL HOURS WORKED - Usually worked 1 to 14 hours per week - 40 or more weeks,Female; Margin of Error; USUAL HOURS WORKED - Usually worked 1 to 14 hours per week - 40 or more weeks,Total; Estimate; USUAL HOURS WORKED - Usually worked 1 to 14 hours per week - 50 to 52 weeks,Total; Margin of Error; USUAL HOURS WORKED - Usually worked 1 to 14 hours per week - 50 to 52 weeks,Male; Estimate; USUAL HOURS WORKED - Usually worked 1 to 14 hours per week - 50 to 52 weeks,Male; Margin of Error; USUAL HOURS WORKED - Usually worked 1 to 14 hours per week - 50 to 52 weeks,Female; Estimate; USUAL HOURS WORKED - Usually worked 1 to 14 hours per week - 50 to 52 weeks,Female; Margin of Error; USUAL HOURS WORKED - Usually worked 1 to 14 hours per week - 50 to 52 weeks,Total; Estimate; USUAL HOURS WORKED - Did not work,Total; Margin of Error; USUAL HOURS WORKED - Did not work,Male; Estimate; USUAL HOURS WORKED - Did not work,Male; Margin of Error; USUAL HOURS WORKED - Did not work,Female; Estimate; USUAL HOURS WORKED - Did not work,Female; Margin of Error; USUAL HOURS WORKED - Did not work,Total; Estimate; Mean usual hours worked for workers,Total; Margin of Error; Mean usual hours worked for workers,Male; Estimate; Mean usual hours worked for workers,Male; Margin of Error; Mean usual hours worked for workers,Female; Estimate; Mean usual hours worked for workers,Female; Margin of Error; Mean usual hours worked for workers,Total; Estimate; PERCENT IMPUTED - Work status in the past 12 months for the population 16 years and over,Total; Margin of Error; PERCENT IMPUTED - Work status in the past 12 months for the population 16 years and over,Male; Estimate; PERCENT IMPUTED - Work status in the past 12 months for the population 16 years and over,Male; Margin of Error; PERCENT IMPUTED - Work status in the past 12 months for the population 16 years and over,Female; Estimate; PERCENT IMPUTED - Work status in the past 12 months for the population 16 years and over,Female; Margin of Error; PERCENT IMPUTED - Work status in the past 12 months for the population 16 years and over,Total; Estimate; PERCENT IMPUTED - Hours worked per week in the past 12 months for the population 16 years and over,Total; Margin of Error; PERCENT IMPUTED - Hours worked per week in the past 12 months for the population 16 years and over,Male; Estimate; PERCENT IMPUTED - Hours worked per week in the past 12 months for the population 16 years and over,Male; Margin of Error; PERCENT IMPUTED - Hours worked per week in the past 12 months for the population 16 years and over,Female; Estimate; PERCENT IMPUTED - Hours worked per week in the past 12 months for the population 16 years and over,Female; Margin of Error; PERCENT IMPUTED - Hours worked per week in the past 12 months for the population 16 years and over,Total; Estimate; PERCENT IMPUTED - Weeks worked in the past 12 months for the population 16 years and over,Total; Margin of Error; PERCENT IMPUTED - Weeks worked in the past 12 months for the population 16 years and over,Male; Estimate; PERCENT IMPUTED - Weeks worked in the past 12 months for the population 16 years and over,Male; Margin of Error; PERCENT IMPUTED - Weeks worked in the past 12 months for the population 16 years and over,Female; Estimate; PERCENT IMPUTED - Weeks worked in the past 12 months for the population 16 years and over,Female; Margin of Error; PERCENT IMPUTED - Weeks worked in the past 12 months for the population 16 years and over
0400000US01,01,Alabama,3122235,4363,1525643,4093,1596592,3817,52.1,0.5,57.4,0.6,47.1,0.6,4.4,0.2,4.2,0.3,4.7,0.3,4.3,0.2,4.1,0.3,4.4,0.3,3.5,0.2,3.5,0.3,3.5,0.3,5.0,0.2,4.8,0.3,5.2,0.2,30.7,0.4,26.0,0.6,35.1,0.6,54.2,0.4,62.5,0.6,46.2,0.6,48.5,0.4,56.1,0.7,41.3,0.6,45.7,0.4,53.1,0.7,38.5,0.6,12.3,0.3,9.2,0.4,15.3,0.4,7.0,0.2,4.7,0.3,9.2,0.4,5.8,0.2,3.7,0.3,7.7,0.4,2.9,0.1,2.3,0.2,3.4,0.2,1.0,0.1,0.8,0.1,1.3,0.1,0.7,0.1,0.5,0.1,0.8,0.1,30.7,0.4,26.0,0.6,35.1,0.6,38.8,0.1,41.4,0.2,36.0,0.2,9.8,(X),(X),(X),(X),(X),10.8,(X),(X),(X),(X),(X),9.8,(X),(X),(X),(X),(X)
0400000US02,02,Alaska,500012,2068,266176,1985,233836,1804,55.2,1.1,59.4,1.4,50.4,1.7,7.2,0.6,7.7,0.7,6.7,0.9,6.2,0.5,6.0,0.7,6.5,0.8,5.8,0.5,5.7,0.6,5.9,0.8,6.4,0.5,6.6,0.6,6.2,0.7,19.1,0.8,14.6,1.0,24.3,1.4,64.8,0.9,73.9,1.1,54.4,1.6,54.4,1.0,61.7,1.3,46.0,1.6,49.1,1.0,55.6,1.4,41.7,1.6,13.5,0.6,9.8,0.8,17.6,1.2,7.2,0.6,4.8,0.8,10.0,1.0,5.5,0.5,3.4,0.7,7.8,0.9,2.6,0.3,1.7,0.4,3.6,0.5,0.8,0.2,0.5,0.2,1.1,0.3,0.6,0.1,0.4,0.2,0.9,0.2,19.1,0.8,14.6,1.0,24.3,1.4,42.2,0.4,45.8,0.5,37.6,0.5,7.1,(X),(X),(X),(X),(X),11.0,(X),(X),(X),(X),(X),9.0,(X),(X),(X),(X),(X)
0400000US04,04,Arizona,4219712,4149,2116953,3688,2102759,3411,53.5,0.5,58.9,0.6,48.1,0.7,5.4,0.2,5.3,0.3,5.5,0.3,4.4,0.2,4.1,0.3,4.6,0.2,3.8,0.2,3.7,0.2,3.9,0.2,5.0,0.2,4.9,0.3,5.1,0.3,28.0,0.4,23.2,0.4,32.8,0.6,55.3,0.4,63.4,0.5,47.1,0.5,49.5,0.4,57.0,0.6,42.0,0.5,46.1,0.4,53.3,0.6,38.8,0.6,13.7,0.3,11.1,0.4,16.4,0.4,8.3,0.2,6.4,0.3,10.3,0.3,6.7,0.2,5.0,0.3,8.4,0.3,3.1,0.1,2.3,0.2,3.8,0.2,1.0,0.1,0.8,0.1,1.2,0.1,0.7,0.1,0.6,0.1,0.9,0.1,28.0,0.4,23.2,0.4,32.8,0.6,38.5,0.1,40.5,0.2,36.0,0.2,11.5,(X),(X),(X),(X),(X),13.9,(X),(X),(X),(X),(X),12.7,(X),(X),(X),(X),(X)
0400000US05,05,Arkansas,1878431,4192,930275,3892,948156,4023,53.3,0.6,58.5,0.9,48.2,0.9,4.8,0.2,4.8,0.4,4.9,0.3,3.8,0.2,3.8,0.3,3.9,0.3,3.5,0.2,3.2,0.3,3.8,0.3,5.0,0.3,4.7,0.4,5.3,0.4,29.6,0.6,25.1,0.8,34.0,0.8,55.8,0.6,64.3,0.9,47.4,0.9,50.1,0.6,57.8,0.9,42.5,0.8,46.8,0.6,54.2,0.9,39.5,0.8,12.0,0.5,8.5,0.5,15.4,0.8,7.1,0.4,4.7,0.4,9.5,0.7,5.8,0.3,3.7,0.4,7.9,0.6,2.7,0.2,2.2,0.2,3.2,0.3,0.9,0.1,0.8,0.1,1.0,0.2,0.7,0.1,0.7,0.1,0.8,0.1,29.6,0.6,25.1,0.8,34.0,0.8,39.3,0.2,41.9,0.3,36.4,0.2,8.2,(X),(X),(X),(X),(X),9.2,(X),(X),(X),(X),(X),8.4,(X),(X),(X),(X),(X)
0400000US06,06,California,25714347,10195,12924983,7449,12789364,7894,53.6,0.2,59.3,0.2,47.8,0.2,5.8,0.1,5.6,0.1,6.0,0.1,4.5,0.1,4.4,0.1,4.5,0.1,3.6,0.1,3.6,0.1,3.7,0.1,4.7,0.1,4.6,0.1,4.8,0.1,27.8,0.1,22.4,0.2,33.1,0.2,53.9,0.2,63.0,0.2,44.6,0.2,48.3,0.2,56.6,0.2,39.8,0.2,44.7,0.2,52.7,0.2,36.7,0.2,14.9,0.1,12.0,0.2,17.9,0.2,9.8,0.1,7.4,0.1,12.3,0.2,7.9,0.1,5.9,0.1,9.9,0.1,3.5,0.1,2.6,0.1,4.3,0.1,1.3,0.1,0.9,0.1,1.7,0.1,1.0,0.1,0.7,0.1,1.2,0.1,27.8,0.1,22.4,0.2,33.1,0.2,37.9,0.1,40.1,0.1,35.4,0.1,9.7,(X),(X),(X),(X),(X),12.2,(X),(X),(X),(X),(X),11.0,(X),(X),(X),(X),(X)
0400000US08,08,Colorado,3558725,4193,1808502,3684,1750223,3245,60.1,0.4,65.4,0.6,54.6,0.6,6.3,0.3,6.0,0.3,6.7,0.3,4.9,0.2,4.6,0.2,5.2,0.3,4.0,0.2,3.8,0.3,4.1,0.3,5.3,0.2,5.3,0.3,5.3,0.3,19.4,0.3,14.9,0.5,24.1,0.4,61.3,0.4,70.4,0.5,51.8,0.5,55.5,0.4,63.9,0.5,46.8,0.6,51.6,0.4,59.7,0.5,43.3,0.6,15.4,0.3,11.7,0.4,19.2,0.5,9.5,0.3,6.7,0.3,12.5,0.4,7.5,0.2,5.1,0.2,10.0,0.4,3.9,0.2,2.9,0.2,4.9,0.3,1.4,0.1,0.9,0.1,2.0,0.2,1.0,0.1,0.6,0.1,1.3,0.1,19.4,0.3,14.9,0.5,24.1,0.4,39.0,0.1,41.6,0.2,36.0,0.2,10.1,(X),(X),(X),(X),(X),12.1,(X),(X),(X),(X),(X),11.4,(X),(X),(X),(X),(X)
0400000US09,09,Connecticut,2363717,3143,1169201,2401,1194516,2947,58.5,0.5,62.8,0.7,54.3,0.7,6.2,0.3,5.5,0.3,6.9,0.4,4.6,0.2,4.5,0.3,4.6,0.3,4.2,0.2,4.1,0.3,4.3,0.3,5.4,0.2,5.3,0.3,5.5,0.3,21.0,0.4,17.7,0.6,24.3,0.6,58.4,0.5,67.3,0.7,49.7,0.7,52.7,0.5,60.5,0.7,45.2,0.8,49.0,0.5,56.7,0.7,41.5,0.7,16.0,0.4,11.5,0.6,20.5,0.5,10.4,0.3,6.7,0.4,14.1,0.5,8.4,0.3,5.3,0.3,11.4,0.4,4.5,0.2,3.5,0.2,5.6,0.3,1.6,0.1,1.2,0.2,2.0,0.2,1.1,0.1,0.8,0.1,1.3,0.2,21.0,0.4,17.7,0.6,24.3,0.6,38.1,0.2,40.8,0.2,35.1,0.2,8.8,(X),(X),(X),(X),(X),10.6,(X),(X),(X),(X),(X),9.5,(X),(X),(X),(X),(X)
0400000US10,10,Delaware,600467,1491,292330,1248,308137,1130,57.6,1.0,60.2,1.5,55.1,1.5,5.6,0.4,5.4,0.7,5.8,0.6,4.7,0.5,4.3,0.7,5.0,0.7,3.9,0.4,3.3,0.5,4.6,0.6,5.1,0.5,5.5,0.7,4.7,0.5,23.0,0.8,21.2,1.1,24.7,1.2,59.3,0.9,64.8,1.2,54.1,1.5,53.9,0.9,58.9,1.3,49.1,1.5,50.5,1.0,55.3,1.3,45.9,1.5,14.9,0.8,11.9,0.9,17.8,1.2,8.5,0.6,6.1,0.8,10.7,0.9,6.6,0.6,4.5,0.7,8.5,0.9,2.8,0.3,2.1,0.4,3.4,0.5,0.9,0.2,0.7,0.2,1.1,0.3,0.5,0.1,0.4,0.2,0.7,0.2,23.0,0.8,21.2,1.1,24.7,1.2,38.2,0.3,40.2,0.3,36.3,0.4,10.5,(X),(X),(X),(X),(X),12.1,(X),(X),(X),(X),(X),11.7,(X),(X),(X),(X),(X)
0400000US11,11,District of Columbia,480661,861,229646,907,251015,799,58.2,1.3,60.3,1.7,56.2,1.8,5.5,0.6,5.1,0.8,5.9,0.7,4.4,0.5,4.2,0.6,4.5,0.7,3.5,0.4,3.2,0.6,3.7,0.5,6.5,0.5,6.4,0.8,6.7,0.8,21.9,1.0,20.9,1.3,22.9,1.5,63.0,1.0,66.3,1.5,60.0,1.4,56.7,1.2,59.8,1.7,53.9,1.5,52.8,1.2,55.9,1.7,50.0,1.6,11.7,0.8,9.8,1.0,13.3,1.2,6.0,0.6,4.9,0.8,6.9,1.0,4.6,0.6,3.9,0.7,5.3,0.9,3.4,0.4,3.0,0.5,3.8,0.6,1.0,0.2,0.6,0.3,1.4,0.4,0.7,0.2,0.4,0.3,0.9,0.3,21.9,1.0,20.9,1.3,22.9,1.5,40.0,0.3,41.3,0.4,38.8,0.4,12.2,(X),(X),(X),(X),(X),14.3,(X),(X),(X),(X),(X),13.1,(X),(X),(X),(X),(X)
