Id2,Geography,TotalEstimate>bachelordegree,TotalEstimate_moe>bachelordegree,MaleEstimte>bachelordegree,MaleEstimte_moe>bachelordegree,FemaleEstimte>bachelordegree,FemaleEstimte_moe>bachelordegree
1,Alabama,6.8,0.8,5.4,0.8,8.1,1.1
2,Alaska,7,1.5,6,1.8,8.4,2.3
4,Arizona,6.9,0.5,5.2,0.5,8.6,0.8
5,Arkansas,7.4,1,5.4,1,9.5,1.5
6,California,9.5,0.2,8,0.4,11.1,0.3
8,Colorado,11.2,0.8,8.7,1,14,1.3
9,Connecticut,14.1,1,12.3,1.2,16,1.5
10,Delaware,8.5,1.5,6.5,1.5,10.6,2.3
11,District of Columbia,23.7,2.5,20.1,3.5,26.9,3.9
12,Florida,8.2,0.5,6.1,0.5,10.4,0.7
13,Georgia,8.2,0.5,6.2,0.6,10.3,0.8
15,Hawaii,7.5,1,5.6,1.3,9.9,1.8
16,Idaho,5.5,1,3.3,1.1,7.8,1.6
17,Illinois,12.9,0.5,11.5,0.7,14.3,0.7
18,Indiana,9,0.7,7.5,0.9,10.6,0.9
19,Iowa,9.8,1,8.2,1.2,11.5,1.3
20,Kansas,10.3,0.9,8.1,1.1,12.7,1.5
21,Kentucky,8.4,0.6,6.6,0.8,10.2,1
22,Louisiana,7.2,0.7,6,1,8.4,1
23,Maine,10.9,1.7,8.8,2.1,13.1,2.3
24,Maryland,12.7,0.7,9.9,0.8,15.7,1
25,Massachusetts,17.2,0.8,15.3,1.1,19.2,1.1
26,Michigan,9.7,0.5,8.9,0.6,10.4,0.7
27,Minnesota,12.8,0.8,10.5,1,15.2,1
28,Mississippi,5.7,0.8,4.6,1,6.9,1.1
29,Missouri,9.2,0.7,8,0.9,10.3,1.1
30,Montana,6.7,1.1,4.5,1.5,9.1,1.9
31,Nebraska,10.9,1.2,9.9,1.8,12,1.6
32,Nevada,5.4,0.8,4.4,1.3,6.5,1.1
33,New Hampshire,12,1.4,9.1,1.8,15.1,2
34,New Jersey,14.4,0.5,12.1,0.7,16.8,0.9
35,New Mexico,5,1,3.7,1.2,6.5,1.4
36,New York,15.1,0.4,12.2,0.4,18.1,0.6
37,North Carolina,9.5,0.6,7.4,0.7,11.7,0.9
38,North Dakota,12.9,2.4,11,3.4,15.1,3.2
39,Ohio,9.5,0.4,7.7,0.5,11.3,0.6
40,Oklahoma,7.1,0.6,5.7,0.9,8.6,0.9
41,Oregon,7.6,0.9,5.9,1.1,9.5,1.3
42,Pennsylvania,12.1,0.5,10.2,0.5,14,0.8
44,Rhode Island,12.1,1.6,11.9,2.5,12.3,2.3
45,South Carolina,8.4,0.9,6.4,1.1,10.6,1.2
46,South Dakota,7.1,1.4,5.8,1.9,8.4,1.9
47,Tennessee,8.8,0.7,6.8,0.8,10.9,1
48,Texas,7.8,0.3,6.2,0.4,9.6,0.5
49,Utah,6.6,0.7,3.6,0.6,9.7,1.2
50,Vermont,12.7,2.5,10.7,2.7,14.7,3.2
51,Virginia,12.1,0.6,10,0.8,14.4,1
53,Washington,10.6,0.7,9.1,1,12.3,1
54,West Virginia,6.9,1,5,1.4,9,1.3
55,Wisconsin,10.5,0.7,9.4,0.9,11.7,0.9
56,Wyoming,6.6,2,5.5,2.3,7.9,2.7
72,Puerto Rico,7.6,0.7,4.5,0.9,10.9,1.2
