Year,Locationabbr,Locationdesc,Class,Topic,Question,Response,Break_Out,Break_Out_Category,Sample_Size,Data_value,Confidence_limit_Low,Confidence_limit_High,Display_order,Data_value_unit,Data_value_type,Data_Value_Footnote_Symbol,Data_Value_Footnote,DataSource,ClassId,TopicId,LocationID,BreakoutID,BreakOutCategoryID,QuestionID,ResponseID,GeoLocation
2014,AL,Alabama,Demographics,Income,What is your annual household income?,"Less than $15,000",Overall,Overall,"1,162",14.8,13.6,16,"1,988",%,Crude Prevalence,,,BRFSS,CLASS05,Topic33,01,BO1,CAT1,INCOME,RESP016,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Income,What is your annual household income?,"$15,000 - 24,999",Overall,Overall,"1,451",20.2,18.8,21.5,"1,989",%,Crude Prevalence,,,BRFSS,CLASS05,Topic33,01,BO1,CAT1,INCOME,RESP017,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Income,What is your annual household income?,"$25,000 - 34,999",Overall,Overall,804,11.7,10.5,12.9,"1,990",%,Crude Prevalence,,,BRFSS,CLASS05,Topic33,01,BO1,CAT1,INCOME,RESP018,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Income,What is your annual household income?,"$35,000 -  49,999",Overall,Overall,"1,016",14.6,13.5,15.8,"1,991",%,Crude Prevalence,,,BRFSS,CLASS05,Topic33,01,BO1,CAT1,INCOME,RESP019,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Income,What is your annual household income?,"$50,000+",Overall,Overall,"2,464",38.8,37.1,40.4,"1,992",%,Crude Prevalence,,,BRFSS,CLASS05,Topic33,01,BO1,CAT1,INCOME,RESP020,"(32.84057112200048, -86.63186076199969)"
2014,AK,Alaska,Demographics,Income,What is your annual household income?,"Less than $15,000",Overall,Overall,330,8.6,7.4,9.8,"1,983",%,Crude Prevalence,,,BRFSS,CLASS05,Topic33,02,BO1,CAT1,INCOME,RESP016,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Demographics,Income,What is your annual household income?,"$15,000 - 24,999",Overall,Overall,453,13,11.4,14.6,"1,984",%,Crude Prevalence,,,BRFSS,CLASS05,Topic33,02,BO1,CAT1,INCOME,RESP017,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Demographics,Income,What is your annual household income?,"$25,000 - 34,999",Overall,Overall,316,9.2,7.9,10.6,"1,985",%,Crude Prevalence,,,BRFSS,CLASS05,Topic33,02,BO1,CAT1,INCOME,RESP018,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Demographics,Income,What is your annual household income?,"$35,000 -  49,999",Overall,Overall,511,13.6,12.1,15.1,"1,986",%,Crude Prevalence,,,BRFSS,CLASS05,Topic33,02,BO1,CAT1,INCOME,RESP019,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Demographics,Income,What is your annual household income?,"$50,000+",Overall,Overall,"2,290",55.6,53.4,57.8,"1,987",%,Crude Prevalence,,,BRFSS,CLASS05,Topic33,02,BO1,CAT1,INCOME,RESP020,"(64.84507995700051, -147.72205903599973)"
